City Tire and Auto,,,,
Combined Profit And Loss Report,,,,
For period ending 30/06/2022,,,,
( June/2022 ) - [Monthly],,,,
Account Code,GLB,Account Name,June (Interim),May (Interim)
401197,AHO,Shop Tools                    ,,
401200,1,UTILITIES                     ,,1691.04
401200,2,UTILITIES                     ,,2545.46
401200,3,UTILITIES                     ,579.97,878.2
401200,4,UTILITIES                     ,,2831.5
401200,5,UTILITIES                     ,,1952.9
401200,6,UTILITIES                     ,,22.14
401200,7,UTILITIES                     ,,1770.13
401200,8,UTILITIES                     ,,
401200,9,UTILITIES                     ,182.85,1127.06
401200,10,UTILITIES                     ,,201.08
401200,11,UTILITIES                     ,,970.72
401200,347,UTILITIES                     ,,1652.8
401200,AHO,UTILITIES                     ,,500.33
401210,1,TELEPHONE & COMMUNICATIONS    ,,575.35
401210,2,TELEPHONE & COMMUNICATIONS    ,,658.76
401210,3,TELEPHONE & COMMUNICATIONS    ,,368.28
401210,4,TELEPHONE & COMMUNICATIONS    ,,606.67
401210,5,TELEPHONE & COMMUNICATIONS    ,,443.99
401210,6,TELEPHONE & COMMUNICATIONS    ,,61.99
401210,7,TELEPHONE & COMMUNICATIONS    ,,342.14
401210,9,TELEPHONE & COMMUNICATIONS    ,,705.52
401210,10,TELEPHONE & COMMUNICATIONS    ,326.93,869.89
401210,11,TELEPHONE & COMMUNICATIONS    ,,11.5
401210,100,TELEPHONE & COMMUNICATIONS    ,,
401210,347,TELEPHONE & COMMUNICATIONS    ,,769.44
401210,AHO,TELEPHONE & COMMUNICATIONS    ,,3243.53
401220,1,LAUNDRY & UNIFORMS            ,1221.85,1426.26
401220,2,LAUNDRY & UNIFORMS            ,301.53,811.57
401220,3,LAUNDRY & UNIFORMS            ,746.02,772.35
401220,4,LAUNDRY & UNIFORMS            ,275.75,990.33
401220,5,LAUNDRY & UNIFORMS            ,1402.07,1004.99
401220,7,LAUNDRY & UNIFORMS            ,166.07,165.8
401220,9,LAUNDRY & UNIFORMS            ,711.59,702.44
401220,10,LAUNDRY & UNIFORMS            ,470.89,709.1
401220,11,LAUNDRY & UNIFORMS            ,245.97,427.94
401220,347,LAUNDRY & UNIFORMS            ,,
401220,AHO,LAUNDRY & UNIFORMS            ,,118.7
401240,1,ADVERTISING AND PUBLICITY     ,50,
401240,2,ADVERTISING AND PUBLICITY     ,,
401240,3,ADVERTISING AND PUBLICITY     ,,
401240,4,ADVERTISING AND PUBLICITY     ,100,
401240,5,ADVERTISING AND PUBLICITY     ,,
401240,7,ADVERTISING AND PUBLICITY     ,,
401240,9,ADVERTISING AND PUBLICITY     ,,
401240,10,ADVERTISING AND PUBLICITY     ,,
401240,11,ADVERTISING AND PUBLICITY     ,,
401240,347,ADVERTISING AND PUBLICITY     ,,
401240,AHO,ADVERTISING AND PUBLICITY     ,560,
401245,1,SECURITY                      ,,1061.82
401245,2,SECURITY                      ,,442.5
401245,3,SECURITY                      ,,
401245,4,SECURITY                      ,,
401245,5,SECURITY                      ,197.68,
401245,6,SECURITY                      ,,
401245,7,SECURITY                      ,,
401245,9,SECURITY                      ,,110
401245,10,SECURITY                      ,,
401245,11,SECURITY                      ,,340.22
401250,1,PROFESSIONAL FEES             ,,
401250,2,PROFESSIONAL FEES             ,,
401250,3,PROFESSIONAL FEES             ,,
401250,4,PROFESSIONAL FEES             ,,
401250,5,PROFESSIONAL FEES             ,,
401250,6,PROFESSIONAL FEES             ,,1499.19
401250,9,PROFESSIONAL FEES             ,,
401250,10,PROFESSIONAL FEES             ,,
401250,11,PROFESSIONAL FEES             ,,
401250,347,PROFESSIONAL FEES             ,,
401250,AHO,PROFESSIONAL FEES             ,,
401262,1,PROPERTY LEASE                ,12000,12000
401262,2,PROPERTY LEASE                ,6000,6000
401262,3,PROPERTY LEASE                ,7000,7000
401262,4,PROPERTY LEASE                ,6000,6000
401262,5,PROPERTY LEASE                ,12000,12000
401262,7,PROPERTY LEASE                ,2500,2500
401262,9,PROPERTY LEASE                ,3500,3500
401262,10,PROPERTY LEASE                ,7000,7000
401262,11,PROPERTY LEASE                ,12000,12000
401262,347,PROPERTY LEASE                ,6000,6000
401262,AHO,PROPERTY LEASE                ,-40500,-40500
401264,1,WAREHOUSE LEASE               ,,
401264,2,WAREHOUSE LEASE               ,,
401264,3,WAREHOUSE LEASE               ,,
401264,10,WAREHOUSE LEASE               ,,
401264,347,WAREHOUSE LEASE               ,,
401270,1,ENTERTAINMENT                 ,,
401270,2,ENTERTAINMENT                 ,,
401270,4,ENTERTAINMENT                 ,126.14,60.25
401270,5,ENTERTAINMENT                 ,,
401270,9,ENTERTAINMENT                 ,,
401270,11,ENTERTAINMENT                 ,,
401270,100,ENTERTAINMENT                 ,,
401270,347,ENTERTAINMENT                 ,,
401270,AHO,ENTERTAINMENT                 ,,456.35
401280,AHO,COLLECTION EXPENSE            ,,38
401290,1,FEES & MEMBERSHIPS            ,154.76,361.01
401290,2,FEES & MEMBERSHIPS            ,154.76,361.01
401290,3,FEES & MEMBERSHIPS            ,434.76,361.01
401290,4,FEES & MEMBERSHIPS            ,164.71,154.76
401290,5,FEES & MEMBERSHIPS            ,154.76,154.76
401290,7,FEES & MEMBERSHIPS            ,,
401290,9,FEES & MEMBERSHIPS            ,154.76,154.72
401290,11,FEES & MEMBERSHIPS            ,378.98,576.61
401290,347,FEES & MEMBERSHIPS            ,,
401290,AHO,FEES & MEMBERSHIPS            ,1095,1085
401295,1,TRAINING                      ,,
401295,2,TRAINING                      ,,
401295,3,TRAINING                      ,,
401295,4,TRAINING                      ,,42.18
401295,5,TRAINING                      ,,
401295,7,TRAINING                      ,,
401295,9,TRAINING                      ,,
401295,10,TRAINING                      ,,
401295,11,TRAINING                      ,,
401295,347,TRAINING                      ,,
401295,AHO,TRAINING                      ,,
401300,1,TRAVEL                        ,,
401300,2,TRAVEL                        ,,
401300,3,TRAVEL                        ,,
401300,4,TRAVEL                        ,,
401300,5,TRAVEL                        ,,
401300,9,TRAVEL                        ,371.28,258.14
401300,10,TRAVEL                        ,,
401300,11,TRAVEL                        ,,
401300,100,TRAVEL                        ,,
401300,347,TRAVEL                        ,,
401300,AHO,TRAVEL                        ,,
401305,1,FREIGHT                       ,,
401305,2,FREIGHT                       ,,
401305,3,FREIGHT                       ,,
401305,4,FREIGHT                       ,403.27,126.99
401305,5,FREIGHT                       ,138.63,92.72
401305,7,FREIGHT                       ,877.91,8
401305,9,FREIGHT                       ,,
401305,10,FREIGHT                       ,,
401305,11,FREIGHT                       ,,
401305,347,FREIGHT                       ,,51.9
401305,AHO,FREIGHT                       ,,
401310,1,SUPPLIES - OFFICE             ,811.52,1240.62
401310,2,SUPPLIES - OFFICE             ,4.28,369.42
401310,3,SUPPLIES - OFFICE             ,23.25,902.5
401310,4,SUPPLIES - OFFICE             ,369.47,1014.78
401310,5,SUPPLIES - OFFICE             ,250.95,457.73
401310,7,SUPPLIES - OFFICE             ,,629.23
401310,9,SUPPLIES - OFFICE             ,129.25,46.56
401310,10,SUPPLIES - OFFICE             ,129.02,185.73
401310,11,SUPPLIES - OFFICE             ,19.15,11.86
401310,347,SUPPLIES - OFFICE             ,,
401310,AHO,SUPPLIES - OFFICE             ,704.15,162.1
401311,1,OFFICE EQUIP LEASE & MAINTEN  ,1466.68,985.22
401311,2,OFFICE EQUIP LEASE & MAINTEN  ,610.32,610.32
401311,3,OFFICE EQUIP LEASE & MAINTEN  ,610.32,610.32
401311,4,OFFICE EQUIP LEASE & MAINTEN  ,730.42,670.57
401311,5,OFFICE EQUIP LEASE & MAINTEN  ,854.99,818.1
401311,7,OFFICE EQUIP LEASE & MAINTEN  ,89.82,89.82
401311,9,OFFICE EQUIP LEASE & MAINTEN  ,628.32,628.32
401311,10,OFFICE EQUIP LEASE & MAINTEN  ,413.07,413.07
401311,11,OFFICE EQUIP LEASE & MAINTEN  ,469.29,442.06
401311,100,OFFICE EQUIP LEASE & MAINTEN  ,,
401311,347,OFFICE EQUIP LEASE & MAINTEN  ,253.42,2137.32
401311,AHO,OFFICE EQUIP LEASE & MAINTEN  ,2099.55,1382.19
401315,5,POSTAGE                       ,,
401315,9,POSTAGE                       ,,
401315,347,POSTAGE                       ,,
401315,AHO,POSTAGE                       ,,10.68
401320,AHO,INTEREST & PENALTIES          ,,
401340,1,BAD DEBTS                     ,,
401340,5,BAD DEBTS                     ,,
401340,AHO,BAD DEBTS                     ,,
401350,1,MISCELLANEOUS                 ,1160.35,100
401350,2,MISCELLANEOUS                 ,,
401350,3,MISCELLANEOUS                 ,,11.44
401350,4,MISCELLANEOUS                 ,,
401350,5,MISCELLANEOUS                 ,198.56,289.72
401350,7,MISCELLANEOUS                 ,,
401350,9,MISCELLANEOUS                 ,,
401350,10,MISCELLANEOUS                 ,,
401350,11,MISCELLANEOUS                 ,,
401350,347,MISCELLANEOUS                 ,,
401350,AHO,MISCELLANEOUS                 ,,-1229.14
401355,1,MISCELLANEOUS F/U             ,5,
401355,2,MISCELLANEOUS F/U             ,,
401355,3,MISCELLANEOUS F/U             ,210.2,
401355,4,MISCELLANEOUS F/U             ,,
401355,5,MISCELLANEOUS F/U             ,3000,19.5
401355,7,MISCELLANEOUS F/U             ,,
401355,9,MISCELLANEOUS F/U             ,,
401355,10,MISCELLANEOUS F/U             ,67.96,
401355,11,MISCELLANEOUS F/U             ,,792
401355,347,MISCELLANEOUS F/U             ,,
401355,AHO,MISCELLANEOUS F/U             ,,
401357,1,VARIANCE (PHYSICAL INVENTORY) ,,
401357,2,VARIANCE (PHYSICAL INVENTORY) ,,
401357,3,VARIANCE (PHYSICAL INVENTORY) ,,
401357,4,VARIANCE (PHYSICAL INVENTORY) ,,
401357,5,VARIANCE (PHYSICAL INVENTORY) ,,
401357,7,VARIANCE (PHYSICAL INVENTORY) ,,
401357,9,VARIANCE (PHYSICAL INVENTORY) ,,
401357,10,VARIANCE (PHYSICAL INVENTORY) ,,
401357,11,VARIANCE (PHYSICAL INVENTORY) ,,
401357,347,VARIANCE (PHYSICAL INVENTORY) ,,
401360,1,CASH OVER/SHORT               ,,
401380,AHO,INCOME TAX                    ,,
401382,AHO,DEFERRED INCOME TAX           ,,
401390,1,LOSS ON DISPOSAL              ,,
401390,6,LOSS ON DISPOSAL              ,,-203454.71
401390,9,LOSS ON DISPOSAL              ,,
401390,10,LOSS ON DISPOSAL              ,,
401390,AHO,LOSS ON DISPOSAL              ,,
401850,,TOTAL OPERATING EXPENSES,582428.79,471849.64
402000,,** GROSS PROFIT **,226895.64,273847.92
500000,,** OTHER INCOME **,,
500100,1,SERVICE CHARGE ON A/R         ,,
500100,4,SERVICE CHARGE ON A/R         ,,
500100,5,SERVICE CHARGE ON A/R         ,,
500100,10,SERVICE CHARGE ON A/R         ,,
500100,11,SERVICE CHARGE ON A/R         ,,
500100,AHO,SERVICE CHARGE ON A/R         ,601.64,556.45
500200,AHO,INVENTORY COST VARIANCE (PURC),,
500300,AHO,Internal Office A/R Sub Post  ,,
500450,1,UNEARNED INCOME,,
500450,2,UNEARNED INCOME,,
500450,3,UNEARNED INCOME,,
500450,4,UNEARNED INCOME,,
500450,5,UNEARNED INCOME,,
500450,6,UNEARNED INCOME,,
500450,7,UNEARNED INCOME,,
500450,8,UNEARNED INCOME,,
500450,9,UNEARNED INCOME,,
500450,10,UNEARNED INCOME,,
500450,11,UNEARNED INCOME,,
500450,347,UNEARNED INCOME,,
500450,AHO,UNEARNED INCOME,,
500499,,TOTAL OTHER INCOME,601.64,556.45
999990,,** GROSS PROFIT BEFORE TAXES *,227497.28,274404.37
999995,1,Unearned revenue              ,,
999995,6,Unearned revenue              ,,
999996,5,BANK OF NOVA SCOTIA PRELIMIN  ,,
999997,1,BANK OF MONTREAL PRELIMINARY  ,,
999997,2,BANK OF MONTREAL PRELIMINARY  ,,
999997,3,BANK OF MONTREAL PRELIMINARY  ,,
999997,4,BANK OF MONTREAL PRELIMINARY  ,,
999997,5,BANK OF MONTREAL PRELIMINARY  ,,
999997,6,BANK OF MONTREAL PRELIMINARY  ,,
999997,7,BANK OF MONTREAL PRELIMINARY  ,,
999997,8,BANK OF MONTREAL PRELIMINARY  ,,
999997,9,BANK OF MONTREAL PRELIMINARY  ,,
999997,10,BANK OF MONTREAL PRELIMINARY  ,,
999997,11,BANK OF MONTREAL PRELIMINARY  ,,
999997,100,BANK OF MONTREAL PRELIMINARY  ,,
999997,347,BANK OF MONTREAL PRELIMINARY  ,,
999997,AHO,BANK OF MONTREAL PRELIMINARY  ,,
999998,1,ERROR SUSPENSE                ,,
999998,2,ERROR SUSPENSE                ,,
999998,3,ERROR SUSPENSE                ,,
999998,4,ERROR SUSPENSE                ,,
999998,5,ERROR SUSPENSE                ,,
999998,6,ERROR SUSPENSE                ,,
999998,7,ERROR SUSPENSE                ,,
999998,8,ERROR SUSPENSE                ,,
999998,9,ERROR SUSPENSE                ,,
999998,10,ERROR SUSPENSE                ,,
999998,11,ERROR SUSPENSE                ,,
999998,100,ERROR SUSPENSE                ,,
999998,347,ERROR SUSPENSE                ,,
999998,AHO,ERROR SUSPENSE                ,,
999999,,SUSPENSE                      ,,
